012_04_21_001_27|…………
012_04_21_002_27|…………
012_04_21_003_27|ふふっ……やっぱり追いかけて来たのね、五河士道
012_04_21_004_27|そんな袋、置いてきても良かったのよ？　わざわざとっていく人なんて、この世界にはいやしないもの
012_04_21_005_27|でも……そんなあなただからこそ、いいのかもね。　どうしてあたしを追いかけたの？　もしかして、あたしへの興味？
012_04_21_006_27|あははっ、別人みたいかぁ。　驚いた？　どっちの方が好きかな？
012_04_21_007_27|ふふふ……そうだよ？
012_04_21_008_27|あたしは、或守だよ。　間違いなく……あたしが、或守
012_04_21_009_27|う～ん……そうだなぁ。　あたしは、或守だよ。　でも、或守じゃない……とも言えるかな？
012_04_21_010_27|さあ～？　どうなんでしょう？　……ふふっ
012_04_21_011_27|五河士道。　キミが、ここで――この世界で、　どんなことをするのか……どうなっていくのか
012_04_21_012_27|あたしは楽しみにしてるんだ。　だから、もっと色々やって、転がして、選んで――
012_04_21_013_27|――そして、見せて。キミたちの、愛ってやつをね
012_04_21_014_27|……じゃ、今日はこれくらいにしておきましょう。　……またね、五河士道
017_04_21_001_27|あら、来たんだ。　こんばんは、五河士道
017_04_21_002_27|……なるほどなるほど。　五河士道はこういう人なんだね
017_04_21_003_27|いやいや、気にしないで。　面白い考えをするな、って。　そう思っただけなんだ
017_04_21_004_27|何をしていた……かぁ。　そうだな……五河士道を見ていたよ。　あたしは、そのためにここにいるんだし
017_04_21_005_27|ふふっ……あたしはね、この世界を全部知ってる。　ね、わかるでしょ？
017_04_21_006_27|ねえ。　なんで、なんであたしが、　五河士道のことをずっと見ていると思う？
017_04_21_007_27|愛を知るため……ねぇ。　なるほどなるほど
017_04_21_008_27|ああ、そうだね。そうだよね。　でも、五河士道？　それがどういう意味か、ちゃんとわかっているのかなぁ？
017_04_21_009_27|うん、答えたね。　そうだとも言えるし、そうでないとも言える……かな
017_04_21_010_27|さあ、どういう意味でしょうー？
017_04_21_011_27|それは教えてあげない。　でも、薄々気づいてるんじゃない？
017_04_21_012_27|あたしは或守。　それはあたしにとって、唯一確定していること。　だから間違えないよ――絶対に
017_04_21_013_27|ああ、ごめん五河士道。　あたし、まだやることがあるんだ
017_04_21_014_27|だから――またね
020_03_21_001_27|ああ、五河士道。　ここはいい場所だよね
020_03_21_002_27|昨日振りね、五河士道。　ふふ、鞠亜――と呼ぶようになったのね
020_03_21_003_27|そっか、そうなのね。　でも、両方とも名前じゃわかりづらくない？
020_03_21_004_27|昨日も言ったよ。　あたしは或守。或守なの。　だから、五河士道。あなたはそう呼んでくれる？
020_03_21_005_27|そう、そうなの。あたしは或守。　……あはは、なんでだろうね、楽しくなっちゃう。　物足りなく感じちゃうくらい
020_03_21_007_27|――ごめんね、邪魔
020_03_21_008_27|あははっ！　余興だよ、余興。この世界の人は、こんな簡単に消えちゃうの
020_03_21_009_27|何を怒ってるのかな？　ＮＰＣを消したくらいで、そんな騒いだって仕方ないでしょ。　ただのプログラムなんだから
020_03_21_012_27|当たり前のことでしょ？　ただのプログラムなんだから、修復だって簡単。　面白かったでしょう？
